,gyroscope,light,accelerometer,magnetic,pressure
0,27087.0,,,,
1,,27088.0,,,
2,,,27088.0,,
3,27088.0,,,,
4,,,,27088.0,
5,,,27089.0,,
6,27089.0,,,,
7,,,27089.0,,
8,27089.0,,,,
9,,,27089.0,,
10,27089.0,,,,
11,,,,,
12,,,27089.0,,
13,27097.0,,,,
14,,,,,
15,,,27097.0,,
16,27098.0,,,,
17,,,,,
18,,,,27098.0,
19,,,27098.0,,
20,27099.0,,,,
21,,,,,
22,,,27111.0,,
23,27111.0,,,,
24,,,,,
25,,,27111.0,,
26,27111.0,,,,
27,,,,,
28,,,,27112.0,
29,,,27134.0,,
30,27134.0,,,,
31,,,,,
32,,,27135.0,,
33,27135.0,,,,
34,,,,,
35,,,27135.0,,
36,27135.0,,,,
37,,,,,
38,,,,27139.0,
39,,,27139.0,,
40,27139.0,,,,
41,,,,,
42,,,27140.0,,
43,27140.0,,,,
44,,,,,
45,,,27140.0,,
46,27140.0,,,,
47,,,,,
48,,,,27140.0,
49,,,27140.0,,
50,,27140.0,,,
51,27140.0,,,,
52,,,,,
53,,,27145.0,,
54,27145.0,,,,
55,,,,,
56,,,27146.0,,
57,27147.0,,,,
58,,,,,
59,,,,27149.0,
60,,,27154.0,,
61,27154.0,,,,
62,,,,,
63,,,27155.0,,
64,27155.0,,,,
65,,,,,
66,,,27160.0,,
67,27160.0,,,,
68,,,,,
69,,,,27161.0,
70,,,27163.0,,
71,27163.0,,,,
72,,,,,
73,,,27169.0,,
74,27169.0,,,,
75,,,,,
76,,,27172.0,,
77,27173.0,,,,
78,,,,,
79,,,,27174.0,
80,,,27177.0,,
81,27178.0,,,,
82,,,,,
83,,,27181.0,,
84,27181.0,,,,
85,,,,,
86,,,27186.0,,
87,27187.0,,,,
88,,,,,
89,,,,27188.0,
90,,,27190.0,,
91,27190.0,,,,
92,,,,,
93,,,27194.0,,
94,27194.0,,,,
95,,,,,
96,,,27199.0,,
97,27199.0,,,,
98,,,,,
99,,,,27200.0,
100,,,27203.0,,
101,27203.0,,,,
102,,,,,
103,,,27207.0,,
104,27207.0,,,,
105,,,,,
106,,,27212.0,,
107,27212.0,,,,
108,,,,,
109,,,,27213.0,
110,,,27216.0,,
111,27216.0,,,,
112,,,,,
113,,,27220.0,,
114,27221.0,,,,
115,,,,,
116,,,27225.0,,
117,27226.0,,,,
118,,,,,
119,,,,27226.0,
120,,,27229.0,,
121,27229.0,,,,
122,,,,,
123,,,27233.0,,
124,27234.0,,,,
125,,,,,
126,,,27239.0,,
127,27239.0,,,,
128,,,,,
129,,,,27239.0,
130,,,27243.0,,
131,27244.0,,,,
132,,,,,
133,,,27249.0,,
134,27249.0,,,,
135,,,,,
136,,,27252.0,,
137,27252.0,,,,
138,,,,,
139,,,,27252.0,
140,,,27255.0,,
141,27255.0,,,,
142,,,,,
143,,,27259.0,,
144,27260.0,,,,
145,,,,,
146,,,27264.0,,
147,27264.0,,,,
148,,,,,
149,,,,27265.0,
150,,,27268.0,,
151,27268.0,,,,
152,,,,,
153,,,27272.0,,
154,27273.0,,,,
155,,,,,
156,,,27278.0,,
157,27278.0,,,,
158,,,,,
159,,,,27279.0,
160,,,,,27279.0
161,,,27281.0,,
162,27281.0,,,,
163,,,,,
164,,,27287.0,,
165,27287.0,,,,
166,,,,,
167,,,27291.0,,
168,27291.0,,,,
169,,,,,
170,,,,27292.0,
171,,,27294.0,,
172,27295.0,,,,
173,,,,,
174,,,27299.0,,
175,27299.0,,,,
176,,,,,
177,,27306.0,,,
178,,,27307.0,,
179,27307.0,,,,
180,,,,,
181,,,,27307.0,
182,,,27308.0,,
183,27308.0,,,,
184,,,,,
185,,,27312.0,,
186,27312.0,,,,
187,,,,,
188,,,27317.0,,
189,27317.0,,,,
